source,date,title,drug_tags,content_tags,cancer_tags,blog_url,blog_views,blog_likes,blog_comments,cafe_url,cafe_comments,cafe_views,match_confidence,total_comments,persona_myungsoon,persona_suksuja,persona_yeonok
blog,2026. 5. 9.,ER+ 유방암에서 이버멕틴의 두가지 효능,이버멕틴,,유방암,https://blog.naver.com/grsanga/224279746108,70,7.0,0,,0,0,,0,0,2,1.0
blog+cafe,2026. 3. 24.,"시메티딘, 데스로라타딘, 로라타딘과 같은 항히스타민제가 암 치료에 어떤 역할을 할까?",시메티딘,,,https://blog.naver.com/grsanga/224227869200,94,9.0,4,https://cafe.naver.com/friendsofhippocrates/20315,3,113,고신뢰,7,0,3,1.0
blog,2026. 1. 29.,HER2 암에 대한 자연 치료법 : 캔서액티브 요약,,,유방암,https://blog.naver.com/grsanga/224164276318,100,10.0,0,,0,0,,0,0,2,2.0
blog,2025. 12. 10.,경피 이버멕틴 중독으로 인한 사망: 증례 보고 및 문헌 검토,이버멕틴,,,https://blog.naver.com/grsanga/224104491676,110,11.0,0,,0,0,,0,0,2,2.0
blog+cafe,2025. 12. 5.,신경병성 통증에 이버멕틴의 효과,이버멕틴,,,https://blog.naver.com/grsanga/224099420261,142,14.0,2,https://cafe.naver.com/friendsofhippocrates/17300,7,254,저신뢰,9,0,3,2.0
blog,2025. 11. 27.,"인터루킨-11 억제로 노화 늦춰 수명 25% 증가, 라파마이신, 메트포르민",메트포르민|라파마이신,노화항노화,,https://blog.naver.com/grsanga/224090122839,90,9.0,0,,0,0,,0,0,2,1.0
blog+cafe,2025. 11. 25.,"항종양제로서의 이버멕틴, 뇌종양(신경교종, 교모세포종등)에 대한 효과",이버멕틴,,뇌종양,https://blog.naver.com/grsanga/224087682363,192,19.0,2,https://cafe.naver.com/friendsofhippocrates/19948,7,246,저신뢰,9,0,3,3.0
blog,2025. 11. 18.,단기간 라파마이신 투여후 암컷 마우스의 흉선 재생,라파마이신,,,https://blog.naver.com/grsanga/224080118942,101,10.0,1,,0,0,,1,0,2,2.0
blog+cafe,2025. 10. 28.,"[해외호전사례] 미국 Angel 유방암 3기 ER, PR 양성, HER2 음성. 2023년 5월 ~ 2024년 9월까지 NED : 조티펜스 프로토콜",펜벤다졸,해외호전사례|프로토콜|조티펜스,유방암,https://blog.naver.com/grsanga/224056741021,130,13.0,0,https://cafe.naver.com/friendsofhippocrates/13889,5,259,저신뢰,5,5,7,1.0
blog,2025. 10. 22.,"[해외호전사례] 미국 David의 아내, 교모세포종, 80% 종양 제거, 항암,방사선 후 조티펜스 복용법으로 안정적 상황",펜벤다졸,해외호전사례|프로토콜|조티펜스,뇌종양,https://blog.naver.com/grsanga/224050064380,100,10.0,0,,0,0,,0,5,6,1.0
blog,2025. 10. 20.,라파마이신은 식사량을 줄이는 것과 동일한 수명 연장 효과가 있다,라파마이신,노화항노화,,https://blog.naver.com/grsanga/224047686012,60,6.0,0,,0,0,,0,0,2,1.0
blog,2025. 9. 30.,"대장 용종의 분류와 Adenoma, Serrated Polyp, 무엇이 중요한가?",,,,https://blog.naver.com/grsanga/224027291980,150,15.0,0,,0,0,,0,0,2,3.0
blog,2025. 9. 25.,"[해외호전사례] 미국 Billy 여성, 약 40대중반, 4기 식도 선암(7년전), 24년 1월 말부터 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,,https://blog.naver.com/grsanga/224021665177,100,10.0,0,,0,0,,0,5,6,1.0
blog,2025. 9. 25.,"[해외호전사례] 미국 TOM, 전립선암 3기 림프절 전이, 고용량펜벤다졸 복용법 (시작은 조티펜스 복용법)",펜벤다졸,해외호전사례|프로토콜|조티펜스|고용량펜벤다졸,전립선암,https://blog.naver.com/grsanga/224021564454,60,6.0,0,,0,0,,0,5,6,0.0
blog,2025. 9. 24.,"[해외호전사례] 미국 Dan, 비행사, 뼈전이 4기 식도암, 조티펜스 프로토콜",펜벤다졸,해외호전사례|프로토콜|조티펜스,식도암,https://blog.naver.com/grsanga/224019759788,60,6.0,0,,0,0,,0,5,6,0.0
blog,2025. 9. 23.,"[해외호전사례] Alexandra, HPV 양성 고등급 편평 상피 세포 암종(두경부암, 편도암)",,해외호전사례,두경부암,https://blog.naver.com/grsanga/224019047373,60,6.0,0,,0,0,,0,3,4,0.0
blog+cafe,2025. 9. 12.,폴 마릭 [Cancer Care] 각 암종별 용도변경 약물 활용 요약(25년 8월 업데이트),,폴마릭,,https://blog.naver.com/grsanga/224005548190,326,32.0,6,https://cafe.naver.com/friendsofhippocrates/19779,12,322,고신뢰,18,0,6,3.0
blog,2025. 9. 8.,중국의 이버멕틴 암 치료 적용에 관한 보고서(2020~2025),이버멕틴,,,https://blog.naver.com/grsanga/223999993029,151,15.0,1,,0,0,,1,0,2,3.0
blog+cafe,2025. 8. 27.,커트 그레이든 마이클의 아르테미시닌 암 치료 프로토콜,아르테미시닌,프로토콜,,https://blog.naver.com/grsanga/223985212073,242,24.0,2,https://cafe.naver.com/friendsofhippocrates/19726,4,151,고신뢰,6,2,5,3.0
blog+cafe,2025. 8. 7.,암 치료에 관한 세계인들의 항암 프로토콜과 중요 약물 요약 정리,,프로토콜,,https://blog.naver.com/grsanga/223962532697,217,21.0,7,https://cafe.naver.com/friendsofhippocrates/19673,13,301,고신뢰,20,2,7,3.0
blog,2025. 7. 30.,"암과 노화의 특징과 차이점, 상호 작용, UBR4란?",,노화항노화,,https://blog.naver.com/grsanga/223952699941,101,10.0,1,,0,0,,1,0,2,2.0
blog,2025. 7. 18.,"라파마이신과 음식, 음료, 보충제, 약물의 상호작용, 생체 이용률 향상",라파마이신,식이요법,,https://blog.naver.com/grsanga/223938375852,91,9.0,1,,0,0,,1,0,2,1.0
blog,2025. 7. 5.,건강 수명 연장을 위한 라파마이신 사용 평가(330명 성인 대상),라파마이신,노화항노화,,https://blog.naver.com/grsanga/223922607039,131,13.0,1,,0,0,,1,0,2,2.0
blog,2025. 7. 4.,[라파마이신 뉴스] 노화 방지를 위해 라파마이신을 복용해야 하는 이유는?,라파마이신,노화항노화,,https://blog.naver.com/grsanga/223921899538,111,11.0,1,,0,0,,1,0,2,2.0
blog,2025. 7. 2.,[라파마이신 뉴스] 라파마이신의 부작용,라파마이신,,,https://blog.naver.com/grsanga/223919388080,90,9.0,0,,0,0,,0,0,2,1.0
blog,2025. 6. 30.,"[라파마이신 뉴스] 노화 방지, 장수를 위한 라파마이신 복용량은 얼마?",라파마이신,프로토콜|노화항노화,,https://blog.naver.com/grsanga/223916402509,90,9.0,0,,0,0,,0,2,4,1.0
blog,2025. 6. 25.,"암 및 기타 질병에 대한 니클로사마이드, 약리학적 발전과 치료적 응용",,,,https://blog.naver.com/grsanga/223911521595,180,18.0,0,,0,0,,0,0,2,3.0
blog,2025. 6. 19.,"노화억제제: 라파마이신(시롤리무스), 노화의 의미부터 해결까지",라파마이신,노화항노화,,https://blog.naver.com/grsanga/223904941134,102,10.0,2,,0,0,,2,0,2,2.0
blog,2025. 6. 17.,"성장과 노화 : 공통 분자 메커니즘 : mTOR 경로, 라파마이신",라파마이신,노화항노화,,https://blog.naver.com/grsanga/223902488839,120,12.0,0,,0,0,,0,0,2,2.0
blog+cafe,2025. 6. 16.,"암과 노화, mTOR 억제제, 메트포르민, 라파마이신과 그 유도체, 이트라코나졸, 이버멕틴, 니클로사미드, 그리고...",이버멕틴|메트포르민|라파마이신|이트라코나졸|니클로사미드,노화항노화,,https://blog.naver.com/grsanga/223900815966,134,13.0,4,https://cafe.naver.com/friendsofhippocrates/12261,17,530,저신뢰,21,0,5,2.0
blog,2025. 6. 10.,"라파마이신을 이용한 암 예방, 노화 방지, 암 진행 지연",라파마이신,노화항노화,,https://blog.naver.com/grsanga/223894613375,120,12.0,0,,0,0,,0,0,2,2.0
blog,2025. 6. 4.,"라파마이신=시롤리무스, mTOR 억제제, 항노화 작용, 항암 작용",라파마이신,노화항노화,,https://blog.naver.com/grsanga/223888527843,152,15.0,2,,0,0,,2,0,2,3.0
blog,2025. 5. 30.,올 여름 코로나 19 유행 주의 : covid-19 예방과 치료,,,,https://blog.naver.com/grsanga/223883037696,162,16.0,2,,0,0,,2,0,2,3.0
blog,2025. 5. 27.,개 구충제의 탁월한 재위치 : 펜벤다졸 열풍.,펜벤다졸,,,https://blog.naver.com/grsanga/223879626269,210,21.0,0,,0,0,,0,0,2,3.0
blog+cafe,2025. 5. 23.,이버멕틴의 약물학과 항암 효과 총 정리(요약편),이버멕틴,총정리,,https://blog.naver.com/grsanga/223875040399,7126,71.0,26,https://cafe.naver.com/friendsofhippocrates/19516,8,338,고신뢰,34,4,9,3.0
blog,2025. 4. 25.,[해외호전사례] 미국 Christen 여성 유방암 4기 - 제인 프로토콜 + 병원 치료 + 펜벤다졸,펜벤다졸,해외호전사례|프로토콜|제인프로토콜,유방암,https://blog.naver.com/grsanga/223846000340,120,12.0,0,,0,0,,0,5,6,1.0
blog,2025. 4. 21.,"[해외호전사례] 미국 Anthony, 비세포페암 4기 뇌전이(63세, 2021년 진단) : 고용량 펜벤다졸 복용법 +",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,,https://blog.naver.com/grsanga/223841623264,110,11.0,0,,0,0,,0,5,6,1.0
blog+cafe,2025. 4. 8.,폴 마릭의 책 [암 치료] 2판 : 항암 용도 변경 약물 요약과 암 전이와 재발 방지를 위한 제안,,폴마릭,,https://blog.naver.com/grsanga/223826476245,1514,15.0,14,https://cafe.naver.com/friendsofhippocrates/19417,14,293,저신뢰,28,3,8,3.0
blog,2025. 3. 28.,"암 전이, 엑소좀 억제제, 바이오필름 제거를 위해 소포 억제",,,,https://blog.naver.com/grsanga/223813184207,136,13.0,6,,0,0,,6,0,3,2.0
blog,2025. 3. 26.,폴 마릭의 책 [암 치료] 2판 : 암 예방을 위한 조치,,폴마릭,,https://blog.naver.com/grsanga/223810374040,141,14.0,1,,0,0,,1,0,2,2.0
blog+cafe,2025. 3. 25.,"폴 마릭의 책 [암 치료] 2판에 추가된 핵심 용도 변경 약물 : 이버멕틴, 다양한 항암 효과",이버멕틴,폴마릭,,https://blog.naver.com/grsanga/223809236398,180,18.0,0,https://cafe.naver.com/friendsofhippocrates/19380,14,181,고신뢰,14,0,4,3.0
blog+cafe,2025. 3. 21.,"폴 마릭의 책 [암 치료] 2판에 추가된 핵심 용도 변경 약물 : 프로프라놀올, 전이 방지",,폴마릭,,https://blog.naver.com/grsanga/223804533685,90,9.0,0,https://cafe.naver.com/friendsofhippocrates/19356,7,85,고신뢰,7,0,3,1.0
blog+cafe,2025. 3. 18.,"폴 마릭의 책 [암 치료] 2판 : 서문에서 보는 암 치료의 핵심사항, 추가된 용도 변경 약물 : 프로프라놀올, 이버멕틴",이버멕틴,폴마릭,,https://blog.naver.com/grsanga/223800705080,130,13.0,0,https://cafe.naver.com/friendsofhippocrates/19344,2,82,고신뢰,2,0,2,2.0
blog,2025. 3. 14.,"[해외호전사례] 미국 Ben Williams, 교모세포종, 뇌종양 1995년 진단(50세), 현재(78세)까지 건강한 상태",,해외호전사례,뇌종양,https://blog.naver.com/grsanga/223795903433,100,10.0,0,,0,0,,0,3,4,1.0
blog,2025. 3. 12.,"[해외호전사례] 미국 Peggy, 여성 70대, 3C 등급 호르몬 양성 침윤성 유관 유방암, 병원치료 거부 - 2023년 옮긴 글로부터 2번째 - 고용량 펜벤다졸",펜벤다졸,해외호전사례|고용량펜벤다졸,유방암,https://blog.naver.com/grsanga/223793313857,80,8.0,0,,0,0,,0,3,4,0.0
blog,2025. 3. 11.,"[해외호전사례] 미국 Johanna 여성 피부암 4기(2023년 7월) 흑색종, 폐/부신/간 전이 - 수술/항암/방사선 없음, 면역요법+고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|면역|고용량펜벤다졸,흑색종,https://blog.naver.com/grsanga/223792388132,120,12.0,0,,0,0,,0,5,6,2.0
blog,2025. 3. 7.,[해외호전사례] 미국 Robin의 남편 식도암 2기 (2023.12.04) - 2024.03.18 종양 없어짐 - 조티펜스 복용법,펜벤다졸,해외호전사례|프로토콜|조티펜스,식도암,https://blog.naver.com/grsanga/223787706530,110,11.0,0,,0,0,,0,5,6,1.0
blog,2025. 3. 6.,최신 고혈압 가이드라인과 효과적인 병용 요법,,,,https://blog.naver.com/grsanga/223786122385,50,5.0,0,,0,0,,0,0,2,1.0
blog+cafe,2025. 3. 5.,이트라코나졸의 대장암에서 종양 성장 억제 효과 : CEBPB 매개 당분해,이트라코나졸,,대장암,https://blog.naver.com/grsanga/223784487450,100,10.0,0,https://cafe.naver.com/friendsofhippocrates/10845,27,495,중신뢰,27,0,5,2.0
blog,2025. 3. 4.,베르베린 : 다양한 세포 신호 전달 경로의 조절을 통한 여러 암에 대한 효과,베르베린,,,https://blog.naver.com/grsanga/223783495469,153,15.0,3,,0,0,,3,0,2,3.0
blog+cafe,2025. 2. 28.,"FLCCC , 폴 마릭 박사의 [암 치료 Cancer Care] 2nd Edtion : 18가지 입증된 대체암 치료법과 요법",,폴마릭,,https://blog.naver.com/grsanga/223778320216,153,15.0,3,https://cafe.naver.com/friendsofhippocrates/19301,12,177,고신뢰,15,0,5,3.0
blog,2025. 2. 26.,"[해외호전사례] 미국 여성 Tara, 편평 세포 암종, 설암 2/3 기 - 수술후 방사선 거부 : 조티펜스 + 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스|고용량펜벤다졸,,https://blog.naver.com/grsanga/223775100968,60,6.0,0,,0,0,,0,5,6,0.0
